Date;Open;High;Low;Close
2018.03.28;14185.07;14188.67;14106.47;14125.53
2018.03.27;14168.00;14261.50;14165.51;14216.61
2018.03.26;13923.84;14132.02;13887.84;14115.71
2018.03.23;13956.72;13961.52;13856.31;13937.09
2018.03.22;14204.02;14245.53;14092.88;14105.36
2018.03.21;14174.18;14288.31;14150.03;14180.71
2018.03.20;14064.88;14173.98;14029.25;14132.99
2018.03.19;14310.97;14312.26;14075.80;14101.12
2018.03.16;14477.86;14479.52;14257.34;14276.76
2018.03.15;14503.78;14539.87;14454.37;14469.75
2018.03.14;14462.08;14512.12;14408.95;14498.08
2018.03.13;14411.63;14559.50;14406.09;14495.87
2018.03.12;14300.42;14455.22;14300.39;14440.49
2018.03.09;14294.95;14337.96;14212.38;14234.38
2018.03.08;14228.49;14288.47;14100.69;14256.22
2018.03.07;14299.42;14310.25;14141.02;14158.53
2018.03.06;14562.78;14593.41;14277.32;14314.45
2018.03.05;14599.70;14599.88;14424.06;14467.33
2018.03.01;14666.15;14727.78;14598.56;14611.24
2018.02.28;14646.16;14710.64;14596.80;14670.49
2018.02.27;14814.52;14845.60;14713.37;14723.23
2018.02.26;14686.73;14784.52;14686.65;14774.15
2018.02.23;14478.51;14648.63;14477.43;14639.90
2018.02.22;14491.46;14503.80;14441.30;14468.09
2018.02.21;14524.98;14559.71;14454.41;14509.55
2018.02.20;14525.43;14574.91;14466.63;14482.76
2018.02.19;14635.40;14654.62;14392.50;14495.16
2018.02.16;14801.85;14855.77;14584.21;14614.53
2018.02.15;14786.58;14877.64;14710.21;14756.19
2018.02.14;14862.77;14883.14;14716.14;14761.66
2018.02.12;14730.18;14819.10;14720.82;14796.56
2018.02.09;14574.98;14680.96;14502.25;14649.94
2018.02.08;14608.03;14821.01;14586.15;14752.56
2018.02.07;14694.98;14732.72;14532.07;14562.00
2018.02.06;14380.55;14657.28;14209.33;14541.76
2018.02.05;14733.28;14825.28;14594.06;14792.53
2018.02.02;15249.35;15251.10;14866.07;14886.09
2018.02.01;15380.64;15450.21;15123.18;15329.54
2018.01.31;15396.32;15427.94;15274.86;15347.19
2018.01.30;15525.37;15528.56;15400.19;15417.84
2018.01.29;15543.22;15618.63;15519.03;15532.52
2018.01.25;15613.28;15623.06;15458.36;15514.22
2018.01.24;15626.16;15660.94;15553.53;15591.54
2018.01.23;15519.05;15639.36;15517.97;15619.31
2018.01.22;15414.35;15493.31;15369.08;15483.36
2018.01.19;15285.61;15393.43;15235.36;15378.91
2018.01.18;15423.22;15464.68;15198.56;15258.97
2018.01.17;15210.66;15342.11;15095.17;15327.56
2018.01.16;15362.52;15380.47;15192.30;15210.24
2018.01.15;15327.61;15414.34;15327.02;15341.72
2018.01.12;15301.06;15333.37;15165.22;15283.93
2018.01.11;15252.97;15297.65;15220.74;15267.12
2018.01.10;15288.19;15297.99;15184.87;15234.96
2018.01.09;15272.51;15295.07;15205.77;15250.72
2018.01.08;15179.36;15256.71;15179.36;15244.23
2018.01.05;15067.09;15147.04;15067.08;15137.99
2018.01.04;14980.54;15042.57;14942.25;15032.66
2018.01.03;14938.32;15005.80;14914.16;14931.96
2018.01.02;14972.91;15004.45;14837.22;14895.40
2018.01.01;15020.45;15056.39;14913.84;14935.58
2017.12.29;14948.62;15013.42;14948.62;15002.73
2017.12.28;14940.18;14985.35;14889.18;14916.06
2017.12.27;14993.44;15015.22;14887.48;14922.24
2017.12.26;14936.25;14974.78;14918.48;14964.43
2017.12.22;14863.73;14929.23;14863.68;14908.09
2017.12.21;14830.22;14865.45;14814.80;14844.87
2017.12.20;14834.59;14862.66;14794.44;14808.62
2017.12.19;0.00;14713.19;14811.35;14705.21
2017.12.18;14563.40;14738.74;14254.77;14660.92
2017.12.15;14543.29;14625.33;14543.29;14586.05
2017.12.14;14425.20;14477.56;14313.28;14453.18
2017.12.13;14495.82;14551.38;14369.09;14399.19
2017.12.12;14591.18;14600.72;14479.26;14487.93
2017.12.11;14575.77;14625.12;14563.35;14600.85
2017.12.08;14441.08;14551.01;14441.03;14535.58
2017.12.07;14228.47;14416.62;14225.66;14399.72
2017.12.06;14323.40;14324.32;14207.77;14216.94
2017.12.05;14322.70;14352.89;14239.24;14326.77
2017.12.04;14394.53;14414.20;14288.86;14336.17
2017.12.01;14536.18;14578.00;14317.34;14338.18
2017.11.30;14605.74;14611.96;14478.12;14493.58
2017.11.29;14665.38;14685.83;14606.03;14627.31
